Camera Id	Latitude	Longitude	Median Violations
CHI083	41.953074800	-87.782825500	51
CHI119	41.794226500	-87.658710000	52
CHI009	41.880938200	-87.717898400	54
CHI031	41.801401900	-87.723544600	58
CHI014	41.767731900	-87.702737900	62
CHI144	41.835958000	-87.668790300	64
CHI058	41.877189400	-87.770369500	66
CHI028	41.946607800	-87.692652400	68
CHI007	41.823564000	-87.684721100	68
CHI029	41.793492600	-87.611876000	68
CHI147	41.967902300	-87.749079000	73.5
CHI095	41.954540900	-87.658572500	85
CHI146	41.780057	    -87.619754700	85
CHI079	41.953875300	-87.696204100	95
CHI120	41.707576900	-87.529848300	99
